   Block  A  B  C LIFE
1      1 -1 -1 -1  127
2      1 -1 -1 -1  196
3      2  1 -1 -1  163
4      2  1 -1 -1  194
5      2 -1  1 -1   89
6      2 -1  1 -1  173
7      1  1  1 -1  155
8      1  1  1 -1  144
9      2 -1 -1  1  136
10     2 -1 -1  1   66
11     1  1 -1  1  130
12     1  1 -1  1   81
13     1 -1  1  1  176
14     1 -1  1  1  167
15     2  1  1  1  142
16     2  1  1  1  145
17     1 -1 -1 -1  177
18     1 -1 -1 -1  184
19     2  1 -1 -1  153
20     2  1 -1 -1  249
21     2 -1  1 -1  106
22     2 -1  1 -1  160
23     1  1  1 -1  182
24     1  1  1 -1  162
25     2 -1 -1  1  107
26     2 -1 -1  1   60
27     1  1 -1  1  107
28     1  1 -1  1   88
29     1 -1  1  1  164
30     1 -1  1  1  166
31     2  1  1  1  129
32     2  1  1  1  140
