Auxin	Kinetin	Weight
0.00	0.00	1021
0.05	0.00	1250
0.10	0.00	1680
0.50	0.00	1800
2.50	0.00	1288
0.00	0.05	1042
0.05	0.05	1760
0.10	0.05	2025
0.50	0.05	2100
2.50	0.05	1694
0.00	0.10	1085
0.05	0.10	1840
0.10	0.10	2200
0.50	0.10	2413
2.50	0.10	2365
0.00	0.25	1176
0.05	0.25	1880
0.10	0.25	2480
0.50	0.25	2600
2.50	0.25	2605
0.00	0.50	1448
0.05	0.50	2022
0.10	0.50	2626
0.50	0.50	3288
2.50	0.50	3301
0.00	1.00	1608
0.05	1.00	2450
0.10	1.00	3515
0.50	1.00	3720
2.50	1.00	3628
0.00	2.50	2208
0.05	2.50	2860
0.10	2.50	3680
0.50	2.50	5332
2.50	2.50	3840
0.00	5.00	1845
0.05	5.00	2604
0.10	5.00	3240
0.50	5.00	3273
2.50	5.00	3601
0.00	7.00	1605
0.05	7.00	2474
0.10	7.00	2848
0.50	7.00	2857
2.50	7.00	2520
0.00	10.00	1420
0.05	10.00	1692
0.10	10.00	2021
0.50	10.00	2428
2.50	10.00	2073
