       x1     x2     x3     x4     x5
1  0.4073 0.4072 0.4071 0.4070 0.4069
2  0.4068 0.4068 0.4071 0.4069 0.4067
3  0.4067 0.4067 0.4069 0.4067 0.4069
4  0.4069 0.4070 0.4070 0.4069 0.4072
5  0.4069 0.4071 0.4074 0.4074 0.4072
6  0.4069 0.4069 0.4068 0.4070 0.4070
7  0.4070 0.4070 0.4073 0.4069 0.4068
8  0.4060 0.4070 0.4073 0.4072 0.4073
9  0.4080 0.4073 0.4072 0.4061 0.4068
10 0.4073 0.4072 0.4073 0.4078 0.4078
11 0.4071 0.4075 0.4072 0.4071 0.4077
12 0.4073 0.4075 0.4076 0.4076 0.4075
13 0.4073 0.4077 0.4072 0.4063 0.4070
14 0.4073 0.4072 0.4074 0.4071 0.4070
15 0.4067 0.4074 0.4070 0.4071 0.4072
16 0.4065 0.4068 0.4070 0.4070 0.4070
17 0.4070 0.4067 0.4071 0.4070 0.4072
18 0.4064 0.4075 0.4066 0.4064 0.4067
19 0.4072 0.4073 0.4066 0.4064 0.4069
20 0.4070 0.4072 0.4072 0.4076 0.4073
