        S      C    y
1       L     B1 0.65
2       M     B1 0.82
3       H     B1 1.26
4       L     B2 0.97
5       M     B2 1.12
6       H     B2 1.37
7       L     B3 0.77
8       M     B3 1.16
9       H     B3 1.39
10      L     B4 0.86
11      M     B4 1.17
12      H     B4 1.49
13      L     B5 0.88
14      M     B5 0.95
15      H     B5 1.38
16      L     B1 0.82
17      M     B1 0.88
18      H     B1 1.28
19      L     B2 1.20
20      M     B2 1.19
21      H     B2 1.51
22      L     B3 0.80
23      M     B3 0.93
24      H     B3 1.34
25      L     B4 1.04
26      M     B4 1.18
27      H     B4 1.27
28      L     B5 0.68
29      M     B5 0.99
30      H     B5 1.23
31      L     B1 0.53
32      M     B1 0.89
33      H     B1 1.27
34      L     B2 1.07
35      M     B2 1.07
36      H     B2 1.39
37      L     B3 0.96
38      M     B3 1.09
39      H     B3 1.46
40      L     B4 1.03
41      M     B4 1.08
42      H     B4 1.30
43      L     B5 0.80
44      M     B5 1.01
45      H     B5 1.18
46      L     B1 0.70
47      M     B1 1.06
48      H     B1 1.13
49      L     B2 1.00
50      M     B2 1.34
51      H     B2 1.37
52      L     B3 0.85
53      M     B3 0.94
54      H     B3 1.46
55      L     B4 1.11
56      M     B4 1.32
57      H     B4 1.38
58      L     B5 0.82
59      M     B5 1.18
60      H     B5 1.31
61      L     B1 0.68
62      M     B1 0.90
63      H     B1 1.23
64      L     B2 1.13
65      M     B2 1.14
66      H     B2 1.36
67      L     B3 0.86
68      M     B3 1.22
69      H     B3 1.24
70      L     B4 1.04
71      M     B4 1.15
72      H     B4 1.36
73      L     B5 0.87
74      M     B5 1.01
75      H     B5 1.13
