   IM OT TS     y
1  A1 B1 C1 18.54
2  A2 B1 C1 19.08
3  A3 B1 C1 14.80
4  A1 B2 C1 11.21
5  A2 B2 C1 13.22
6  A3 B2 C1 14.74
7  A1 B1 C2 12.60
8  A2 B1 C2 16.14
9  A3 B1 C2 12.19
10 A1 B2 C2 15.81
11 A2 B2 C2 17.19
12 A3 B2 C2 12.90
13 A1 B1 C1 18.29
14 A2 B1 C1 19.05
15 A3 B1 C1 13.90
16 A1 B2 C1 15.10
17 A2 B2 C1 13.19
18 A3 B2 C1 12.42
19 A1 B1 C2 15.17
20 A2 B1 C2 14.92
21 A3 B1 C2 13.40
22 A1 B2 C2 14.67
23 A2 B2 C2 13.17
24 A3 B2 C2 12.63
25 A1 B1 C1 18.30
26 A2 B1 C1 16.00
27 A3 B1 C1 18.59
28 A1 B2 C1 14.81
29 A2 B2 C1 11.74
30 A3 B2 C1 12.18
31 A1 B1 C2 14.14
32 A2 B1 C2 14.24
33 A3 B1 C2 11.42
34 A1 B2 C2 15.58
35 A2 B2 C2 16.28
36 A3 B2 C2 15.65
