     dU    dG
1   1.0  1.12
2   2.6 -1.07
3   2.8 -0.49
4   2.6 -1.58
5   1.3  3.84
6  -0.8  7.39
7  -2.2 10.36
8  -2.3 13.36
9  -2.9 10.34
10 -2.2  8.85
11 -1.1  6.84
12 -1.2  5.17
13 -0.5  4.91
14 -0.2  3.31
15 -0.2  1.97
16 -0.4  5.15
17 -0.3  6.06
18 -0.5  6.74
19 -0.2  5.39
20  1.8  0.40
21  3.1 -1.91
22  3.1 -2.53
23  3.2 -0.82
24  0.5  2.79
25 -1.1  6.25
26 -1.4  7.88
27 -2.0  8.10
28 -0.8  6.57
29 -0.4  3.12
30  0.1  2.23
31 -0.2  0.76
32  0.0  1.84
33 -0.5  2.93
34  0.0  1.89
35  0.5  3.00
36  1.0  0.27
37  3.0 -3.04
38  3.0 -2.21
39  2.7 -0.87
40  1.0  2.52
41 -1.1  7.50
42 -2.3  9.55
43 -1.6  6.91
44 -0.9  4.84
45 -0.2  5.07
46  0.4  2.00
47  0.0  2.29
48  1.3  0.62
49  1.5 -1.00
50  1.5  1.33
51  1.2  2.80
52 -0.6  6.25
53 -1.3  7.52
54 -1.4  6.71
55 -1.1  5.98
56 -0.5  4.12
57  0.1  3.63
58  0.1  3.78
59 -0.1  4.76
60  0.0  5.30
61 -0.3  6.27
62 -0.4  6.17
63 -0.4  5.62
64 -0.5  5.11
65 -0.7  5.34
66 -0.6  5.55
67 -0.8  6.25
68 -1.0  8.51
69 -0.9  8.51
70 -0.8  7.41
71 -0.6  5.97
72 -0.2  4.31
73  0.0  2.71
74  0.1  2.39
75  0.1  2.53
76  0.0  2.48
77 -0.1  3.68
78 -0.2  5.42
79 -0.4  5.30
80 -0.4  4.96
81 -0.3  4.46
82 -0.2  3.01
83  0.3  2.96
84  0.1  2.03
85  1.0  0.29
86  1.4  0.18
87  1.7  0.44
88  2.6 -0.16
89  1.6  2.76
90  1.0  3.15
91  0.6  3.06
92 -0.1  4.46
93 -0.2  3.47
94 -0.2  5.33
95 -0.5  5.49
96 -0.8  6.93
