    G     S      Y
1   P     p    0.3
2   P     p    0.4
3   P     p   -1.7
4   P     p   -0.5
5   P     p   -2.1
6   P     p    1.3
7   P     p    0.8
8   P     p    1.5
9   P     p   -1.2 
10  P     p   -0.2
11  P     p    1.7
12  P     p    1.2
13  P     p    0.6
14  P     p    0.4
15  P     p   -1.3
16  P     p   -0.2
17  P     p    0.7
18  P     t   -3.7
19  P     t   -1.0
20  P     t    0.2
21  P     t   -2.3
22  P     t    1.5
23  P     t   -1.4
24  P     t    1.2
25  P     t   -2.5
26  P     t   -3.3
27  P     t    0.2
28  P     t    0.6
29  P     t   -0.7
30  P     t   -0.1
31  P     t   -3.1
32  P     t    0.3
33  P     t   -0.5
34  P     t   -0.8
35  P     t   -0.7
36  P     t   -0.9
37  P     t   -2.0
38  P     t   -0.6
39  T     p   -3.8
40  T     p   -3.2
41  T     p   -4.9
42  T     p   -5.2
43  T     p   -2.2
44  T     p   -3.5
45  T     p   -4.4
46  T     p   -0.8
47  T     p   -1.8
48  T     p   -4.0
49  T     p   -1.9
50  T     p   -3.0
51  T     p   -1.8
52  T     p   -2.9
53  T     p   -2.9
54  T     p   -2.9
55  T     p   -3.7
56  T     t   -5.0
57  T     t   -5.0
58  T     t   -3.0
59  T     t   -2.6
60  T     t   -6.2
61  T     t   -7.0
62  T     t   -4.5
63  T     t   -4.2
64  T     t   -5.2
65  T     t   -6.2
66  T     t   -4.0
67  T     t   -3.9
68  T     t   -3.3
69  T     t   -5.7
70  T     t   -4.5
71  T     t   -4.3
72  T     t   -4.0
73  T     t   -4.2
74  T     t   -4.7
