   MS SH MH     y
1  A1 B1 C1 0.810
2  A2 B1 C1 0.762
3  A1 B2 C1 0.985
4  A2 B2 C1 0.871
5  A1 B3 C1 0.990
6  A2 B3 C1 0.805
7  A1 B1 C2 0.885
8  A2 B1 C2 0.959
9  A1 B2 C2 0.908
10 A2 B2 C2 0.918
11 A1 B3 C2 0.965
12 A2 B3 C2 0.858
13 A1 B1 C1 0.842
14 A2 B1 C1 0.911
15 A1 B2 C1 0.968
16 A2 B2 C1 0.891
17 A1 B3 C1 0.983
18 A2 B3 C1 0.842
19 A1 B1 C2 0.955
20 A2 B1 C2 0.952
21 A1 B2 C2 0.939
22 A2 B2 C2 0.826
23 A1 B3 C2 0.968
24 A2 B3 C2 0.891
25 A1 B1 C1 0.870
26 A2 B1 C1 0.762
27 A1 B2 C1 0.956
28 A2 B2 C1 0.793
29 A1 B3 C1 0.981
30 A2 B3 C1 0.903
31 A1 B1 C2 0.951
32 A2 B1 C2 0.976
33 A1 B2 C2 0.935
34 A2 B2 C2 0.885
35 A1 B3 C2 0.967
36 A2 B3 C2 0.891
37 A1 B1 C1 0.855
38 A2 B1 C1 0.835
39 A1 B2 C1 0.944
40 A2 B2 C1 0.842
41 A1 B3 C1 0.966
42 A2 B3 C1 0.810
43 A1 B1 C2 0.964
44 A2 B1 C2 0.952
45 A1 B2 C2 0.914
46 A2 B2 C2 0.852
47 A1 B3 C2 0.927
48 A2 B3 C2 0.908
49 A1 B1 C1 0.921
50 A2 B1 C1 0.858
51 A1 B2 C1 0.985
52 A2 B2 C1 0.881
53 A1 B3 C1 0.991
54 A2 B3 C1 0.911
55 A1 B1 C2 0.948
56 A2 B1 C2 0.951
57 A1 B2 C2 0.931
58 A2 B2 C2 0.855
59 A1 B3 C2 0.964
60 A2 B3 C2 0.878
