    Time Type
1   8.51    A
2   9.12    A
3   3.71    A
4   7.38    A
5   7.62    A
6   3.32    A
7   4.21    A
8   8.81    A
9   4.47    A
10  4.06    A
11  5.68    A
12  4.08    A
13  5.34    A
14  6.03    A
15  6.89    A
16  5.32    A
17  4.42    A
18  4.49    A
19  5.96    A
20  5.48    A
21  3.49    A
22  9.68    A
23  9.42    A
24  3.94    A
25  5.29    A
26  9.32    B
27 12.02    B
28  2.54    B
29  3.00    B
30  8.38    B
31  7.25    B
32  7.28    B
33  4.42    B
34  5.27    B
35  5.08    B
36  6.04    B
37  8.60    B
38  9.91    B
39  5.65    B
40  8.27    B
41  8.37    B
42 10.19    B
43  9.15    B
44  9.47    B
45  9.95    B
46 10.04    B
47  8.61    B
48  8.52    B
49 11.93    B
50  3.17    B
51 11.56    B
52 11.19    B
53  3.86    B
