     wt upwid lowid bklen tarsus sternum
1  28.0 0.742 0.760 1.141  2.389   1.658
2  26.0 0.712 0.725 1.100  2.450   1.668
3  33.5 0.764 0.788 1.269  2.554   1.688
4  31.0 0.776 0.789 1.136  2.533   1.732
5  33.5 0.766 0.790 1.309  2.666   1.812
6  30.0 0.778 0.799 1.203  2.458   1.628
7  33.5 0.786 0.812 1.410  2.517   1.608
8  31.0 0.759 0.779 1.228  2.506   1.704
9  35.0 0.762 0.784 1.227  2.472   1.670
10 31.0 0.762 0.784 1.224  2.552   1.598
11 34.5 0.755 0.774 1.278  2.558   1.728
12 32.5 0.756 0.778 1.275  2.558   1.656
13 31.5 0.766 0.778 1.290  2.566   1.610
14 24.0 0.702 0.717 1.158  2.460   1.652
15 32.0 0.758 0.780 1.242  2.511   1.679
16 25.0 0.766 0.782 1.188  2.405   1.567
17 27.0 0.766 0.784 1.212  2.509   1.674
18 29.0 0.754 0.768 1.322  2.587   1.690
19 29.0 0.772 0.801 1.319  2.628   1.632
20 26.5 0.762 0.788 1.236  2.488   1.662
21 27.0 0.774 0.790 1.250  2.449   1.646
22 32.5 0.754 0.773 1.232  2.478   1.660
23 33.0 0.768 0.794 1.228  2.517   1.642
24 34.5 0.737 0.758 1.222  2.538   1.662
25 24.0 0.746 0.768 1.216  2.554   1.642
26 29.0 0.762 0.792 1.225  2.554   1.608
27 28.5 0.777 0.796 1.290  2.446   1.704
28 29.0 0.766 0.783 1.249  2.492   1.691
29 28.0 0.775 0.797 1.257  2.456   1.608
30 29.5 0.754 0.774 1.224  2.489   1.664
31 28.5 0.754 0.776 1.296  2.476   1.692
32 32.0 0.752 0.773 1.228  2.533   1.700
33 33.0 0.775 0.817 1.238  2.442   1.673
34 30.0 0.777 0.790 1.244  2.448   1.744
35 27.0 0.738 0.762 1.236  2.474   1.681
36 28.5 0.728 0.750 1.160  2.451   1.500
37 29.0 0.732 0.734 1.182  2.566   1.569
38 30.0 0.742 0.764 1.254  2.571   1.652
39 26.5 0.721 0.732 1.129  2.470   1.537
40 27.5 0.736 0.758 1.152  2.574   1.705
41 30.0 0.730 0.746 1.218  2.470   1.592
42 33.5 0.770 0.786 1.268  2.523   1.710
43 29.5 0.757 0.776 1.262  2.396   1.580
