     CurFlo Design
1  21.37000      1
2  23.20000      1
3  26.57000      1
4  24.01000      1
5  30.86000      1
6  18.93000      1
7  24.90000      1
8  24.36000      1
9  26.91000      1
10 20.97000      1
11 27.74000      1
12 20.07000      1
13 19.65000      1
14 25.97000      1
15 21.87000      1
16 24.24000      1
17 29.23000      1
18 20.77000      1
19 20.94000      1
20 25.19000      1
21 28.33000      1
22 21.69000      1
23 29.27000      1
24 28.14000      1
25 26.65000      1
26 25.84000      1
27 22.50000      1
28 19.91000      1
29 21.80000      1
30 22.25000      1
31 26.66000      1
32 24.23000      1
33 23.12000      1
34 21.59000      1
35 27.26000      1
36 27.34516      2
37 23.24792      2
38 16.33612      2
39 22.48417      2
40 27.13633      2
41 23.99370      2
42 30.57532      2
43 24.34866      2
44 17.44468      2
45 21.53793      2
46 22.93342      2
47 20.99950      2
48 20.89965      2
49 23.18433      2
50 30.56553      2
51 20.70202      2
52 19.93999      2
53 28.79332      2
54 21.95449      2
55 22.14102      2
56 16.90219      2
57 30.62205      2
58 27.97897      2
59 28.43286      2
60 25.50296      2
61 23.73971      2
62 28.88901      2
63 26.71061      2
64 22.21900      2
65 23.06761      2
66 25.52031      2
67 25.99860      2
68 19.56078      2
69 21.34955      2
70 22.62214      2
71 29.95106      2
72 20.59473      2
73 24.85338      2
74 20.61145      2
75 24.30980      2
