T	DO
9.3	8.5
9	9.7
13.5	10.4
13.5	7.4
14.6	8.3
11.6	8
7.3	10.5
2.7	11.1
8	9.1
10.9	9.3
13.7	8.8
12.8	8.7
11.7	8.6
9.3	9.2
6.5	11.4
6.2	10.6
4.8	11.1
8.7	10.1
15.4	8.6
16.7	4.7
17.8	6.9
14.1	6.7
9.5	9.7
6.8	11.4
8.7	10.4
7.9	10.6
10.4	8.8
13.2	6.7
16.5	4.2
13.3	7.8
12.5	8.3
9.2	8.9
7.6	10.7
8.8	10.1
11.1	8.2
13.7	8.1
18	7.4
14.2	6.7
7.4	9.6
5.3	10.4
5	11.3
8.2	12.7
15.5	8.1
18.5	7.7
15	6.8
12	6.2
10.5	8.5
5	9.9
3.5	10.4
7.5	9
8.5	11.9
11.3	9.2
13.5	8.7
15.5	10.1
17.8	8.3
12.5	12.5
7.5	10
4.8	10.3
8	9.8
