    Time Robot
1  29.59     1
2  29.25     1
3  31.41     1
4  29.84     1
5  30.76     1
6  31.19     1
7  31.60     1
8  31.90     1
9  30.28     1
10 29.06     1
11 29.76     1
12 31.55     1
13 32.42     1
14 31.01     1
15 30.34     1
16 30.84     1
17 32.74     1
18 30.03     1
19 28.35     1
20 28.98     1
21 31.27     1
22 29.32     1
23 28.97     2
24 28.98     2
25 29.07     2
26 29.15     2
27 29.18     2
28 29.28     2
29 29.34     2
30 29.36     2
31 29.54     2
32 29.80     2
33 29.90     2
34 29.98     2
35 30.54     2
36 30.66     2
37 30.78     2
38 30.80     2
39 30.83     2
40 30.86     2
41 30.87     2
42 31.09     2
43 31.18     2
44 32.23     2
