   Speed StopDist  Auto
1     10       10   Car
2     15       16   Car
3     20       24   Car
4     25       35   Car
5     30       48   Car
6     35       63   Car
7     40       81   Car
8     45      101   Car
9     50      124   Car
10    55      149   Car
11    60      176   Car
12    65      206   Car
13    70      238   Car
14    75      273   Car
15    80      310   Car
16    85      349   Car
17    90      391   Car
18    95      435   Car
19   100      481   Car
20    10       11 Truck
21    15       19 Truck
22    20       30 Truck
23    25       45 Truck
24    30       62 Truck
25    35       83 Truck
26    40      107 Truck
27    45      134 Truck
28    50      164 Truck
29    55      197 Truck
30    60      234 Truck
31    65      273 Truck
32    70      316 Truck
33    75      362 Truck
34    80      411 Truck
35    85      464 Truck
36    90      519 Truck
37    95      578 Truck
38   100      640 Truck
