x         lot
183.403    1
178.808    1
172.115    2
173.675    2
177.758    3
172.421    3
169.228    4
170.352    4
170.379    5
167.700    5
178.389    6
168.501    6
183.246    7
187.562    7
183.108    8
177.838    8
174.310    9
174.555    9
177.843   10
180.946   10
173.700   11
166.162   11
179.662   12
175.742   12
163.561   13
158.606   13
174.216   14
174.116   14
183.269   15
187.114   15
171.185   16
171.871   16
181.944   17
178.712   17
168.397   18
166.501   18
176.094   19
169.866   19
169.169   20
161.664   20
