x      sample
6        1
4.6      1
5        1
5.6      1
5.8      1
5.8      2
2.7      2
3.5      2
4        2
5        2
7.1      3
2.9      3
6.5      3
5.2      3
3.8      3
4        4
8.2      4
7        4
5.3      4
6        4
6.4      5
5        5
5.3      5
6.2      5
5.6      5
6.9      6
5.1      6
5.5      6
6.6      6
5.4      6
6        7
4.4      7
5.7      7
4.8      7
5.1      7
6.9      8
4.9      8
6.3      8
5.2      8
6.2      8
8.4      9
2.8      9
6        9
4.3      9
5.5      9
7       10
3.4     10
6.1     10
4       10
6.5     10
7.5     11
5.9     11
6.2     11
7.1     11
6.8     11
4.5     12
7.7     12
5       12
6.9     12
5.4     12
7.6     13
6.4     13
7       13
6.8     13
7.2     13
7       14
5.4     14
6.4     14
5.9     14
6.8     14
8.2     15
6.2     15
6.8     15
7.5     15
6.3     15
6.1     16
4.3     16
5       16
4.9     16
5.7     16
8       17
7       17
7.5     17
7.8     17
7.7     17
7.5     18
6.8     18
7.1     18
6.9     18
7.2     18
7.7     19
6.6     19
6.9     19
7.3     19
7       19
7.5     20
6.7     20
6.9     20
7.2     20
7.2     20
8       21
6       21
7.4     21
6.5     21
7.1     21
7.9     22
6.7     22
7.6     22
7       22
7.8     22
7.3     23
7.6     23
7.4     23
7.4     23
7.3     23
7.8     24
7       24
7.6     24
7.5     24
7.5     24
7.9     25
6.7     25
7.2     25
7.7     25
7       25
8.7     26
6.3     26
7.9     26
7.4     26
7.7     26
7.9     27
7.1     27
7.5     27
7.7     27
7.8     27
7.4     28
7       28
7.3     28
7.2     28
7.1     28
9.3     29
7.4     29
8       29
8.8     29
8       29
9.2     30
6.1     30
7.1     30
6.8     30
7       30
8.8     31
7.6     31
8.1     31
8.6     31
7.9     31
8.7     32
7.5     32
8       32
8.4     32
7.9     32
7.5     33
4.5     33
5.2     33
6.8     33
6       33
8.1     34
5.6     34
6.6     34
7.4     34
6.8     34
8       35
5.6     35
7.1     35
6.6     35
6.2     35
6.5     36
5.8     36
6       36
6.2     36
6       36
7.4     37
6       37
6.6     37
7.1     37
6.4     37
7.3     38
6.2     38
6.9     38
6.4     38
6.7     38
6       39
7.4     39
6.8     39
6.5     39
6.8     39
6.7     40
5.6     40
6.2     40
5.9     40
6.1     40
6.4     41
6.8     41
6.7     41
6.6     41
6.5     41
7.1     42
6.3     42
6.6     42
6.9     42
6.6     42
6.6     43
5.9     43
6.3     43
6.1     43
6.1     43
5.3     44
6.7     44
6       44
5.8     44
5.7     44
6.9     45
5.1     45
5.8     45
6.3     45
5.9     45
7       46
5       46
6.2     46
5.7     46
6.6     46
6.5     47
5.7     47
5.8     47
6.3     47
6.2     47
