Diamet        Age
  2.86       1.61
  4.29       3.23
  8.57       6.45
 14.29       8.06
 15.71      14.52
 17.14      22.58
 20.00      24.19
 54.29      37.10
 60.00      40.32
 88.57      32.26
100.00      46.77
102.86      51.61
105.71      58.07
108.57      37.10
114.29      37.90
177.14      78.23
178.57     100.81
252.86      76.61
254.29      90.32
311.43     134.68
397.14      96.77
491.43     151.61
560.00     163.71
531.43     140.32
532.86     112.10
545.71     109.68
541.43     123.39
