    diam age   tree
33    25  79 SMaple
34    30  92 SMaple
35    35 104 SMaple
36    40 116 SMaple
37    45 128 SMaple
38    50 140 SMaple
39    55 151 SMaple
40    60 163 SMaple
41    65 174 SMaple
42    70 185 SMaple
43    75 196 SMaple
44    80 207 SMaple
45    86 220 SMaple
46    90 228 SMaple
47    95 239 SMaple
48   100 249 SMaple
49    25  70 BSWOak
50    30  83 BSWOak
51    35  95 BSWOak
52    40 108 BSWOak
53    45 121 BSWOak
54    50 133 BSWOak
55    55 146 BSWOak
56    60 158 BSWOak
57    65 171 BSWOak
58    70 183 BSWOak
59    75 196 BSWOak
60    80 208 BSWOak
61    86 223 BSWOak
62    90 233 BSWOak
63    95 246 BSWOak
64   100 258 BSWOak
113   25  88   WOak
114   30 104   WOak
115   35 119   WOak
116   40 133   WOak
117   45 148   WOak
118   50 163   WOak
119   55 177   WOak
120   60 191   WOak
121   65 205   WOak
122   70 219   WOak
123   75 233   WOak
124   80 247   WOak
125   86 264   WOak
126   90 275   WOak
127   95 289   WOak
128  100 302   WOak
